[   1/1568] Verify package files        100% |  70.0   B/s |   1.5 KiB |  00m22s
[   2/1568] Prepare transaction         100% | 752.0   B/s |   1.5 KiB |  00m02s
[   3/1568] Installing libjpeg-turbo-0: 100% |  56.1 MiB/s | 804.9 KiB |  00m00s
[   4/1568] Installing libpng-2:1.6.44- 100% |  29.7 MiB/s | 242.9 KiB |  00m00s
[   5/1568] Installing gdk-pixbuf2-0:2. 100% |  17.8 MiB/s |   2.5 MiB |  00m00s
[   6/1568] Installing google-noto-font 100% |   6.0 MiB/s |  18.5 KiB |  00m00s
[   7/1568] Installing lcms2-0:2.16-5.f 100% |  42.9 MiB/s | 439.3 KiB |  00m00s
[   8/1568] Installing libwayland-clien 100% |  12.4 MiB/s |  63.3 KiB |  00m00s
[   9/1568] Installing libwebp-0:1.5.0- 100% |  44.3 MiB/s | 951.8 KiB |  00m00s
[  10/1568] Installing graphene-0:1.10. 100% |  17.8 MiB/s | 164.1 KiB |  00m00s
[  11/1568] Installing google-noto-sans 100% |  81.8 MiB/s |   1.4 MiB |  00m00s
[  12/1568] Installing abattis-cantarel 100% |  31.6 MiB/s | 194.4 KiB |  00m00s
[  13/1568] Installing alsa-lib-0:1.2.1 100% |  21.9 MiB/s |   1.4 MiB |  00m00s
[  14/1568] Installing libepoxy-0:1.5.1 100% |  83.2 MiB/s |   1.1 MiB |  00m00s
[  15/1568] Installing librevenge-0:0.0 100% |  43.4 MiB/s | 755.6 KiB |  00m00s
[  16/1568] Installing hicolor-icon-the 100% |   1.7 MiB/s | 179.5 KiB |  00m00s
[  17/1568] Installing imath-0:3.1.12-2 100% |  26.9 MiB/s | 385.9 KiB |  00m00s
[  18/1568] Installing gobject-introspe 100% |  22.8 MiB/s | 397.1 KiB |  00m00s
[  19/1568] Installing fribidi-0:1.0.16 100% |   5.2 MiB/s | 196.8 KiB |  00m00s
[  20/1568] Installing pixman-0:0.46.2- 100% |  63.2 MiB/s | 711.4 KiB |  00m00s
[  21/1568] Installing opus-0:1.5.2-2.f 100% |  46.5 MiB/s | 428.6 KiB |  00m00s
[  22/1568] Installing openjpeg-0:2.5.3 100% |  40.3 MiB/s | 453.8 KiB |  00m00s
[  23/1568] Installing fftw-libs-double 100% |  85.6 MiB/s |   3.4 MiB |  00m00s
[  24/1568] Installing vulkan-loader-0: 100% |  37.3 MiB/s | 535.0 KiB |  00m00s
[  25/1568] Installing libxslt-0:1.1.43 100% |  10.4 MiB/s | 459.2 KiB |  00m00s
[  26/1568] Installing libogg-2:1.3.5-1 100% |   6.5 MiB/s |  46.9 KiB |  00m00s
[  27/1568] Installing libgee-0:0.20.8- 100% |  70.5 MiB/s | 938.8 KiB |  00m00s
[  28/1568] Installing libvorbis-1:1.3. 100% |  54.4 MiB/s | 835.9 KiB |  00m00s
[  29/1568] Installing libportal-0:0.9. 100% |  28.6 MiB/s | 234.4 KiB |  00m00s
[  30/1568] Installing libwayland-serve 100% |   9.7 MiB/s |  79.8 KiB |  00m00s
[  31/1568] Installing vlc-libs-1:3.0.2 100% | 108.2 MiB/s |  41.0 MiB |  00m00s
